"to_station","from_station","count"
"10th St & Penn Ave","Liberty Ave & S Millvale",29
"Liberty Ave & Baum Blvd","42nd St & Penn Ave",99
"17th St & Penn Ave","Ross St & Sixth Ave",47
"Fort Duquesne Blvd & 7th","Isabella St & Federal St",54
"10th St & Penn Ave","Ross St & Sixth Ave",39
"S 12th St & E Carson St","First Ave & Smithfield St",50
"Ross St & Sixth Ave","Ridge Ave & Brighton Rd (CCAC)",53
"Forbes Ave & Market Sq","Isabella St & Federal St",155
"North Shore Trail & Ft Duquesne Bridge","21st St & Penn Ave",70
"10th St & Penn Ave","37th St & Butler St",123
"S 25th St & E Carson St","Third & Wood",40
"S 25th St & E Carson St","Forbes Ave & Grant St",41
"17th St & Penn Ave","37th St & Butler St",44
"Ellsworth Ave & N Neville St","Ellsworth Ave & N Neville St",235
"S 27th & Tunnel Blvd","First Ave & Smithfield St",49
"S 18th St & Sidney St","S 25th St & E Carson St",66
"First Ave & B St","S 12th St & E Carson St",93
"Liberty & Stanwix","First Ave & Smithfield St",26
"Forbes Ave & Market Sq","Penn Ave & N Fairmount St",73
"42nd St & Penn Ave","S Negley Ave & Baum Blvd",48
"12th St & Penn Ave","12th St & Penn Ave",442
"Federal St & E North Ave","10th St & Penn Ave",116
"Liberty Ave & S Millvale","Taylor St & Liberty Ave",27
"First Ave & Smithfield St","S 25th St & E Carson St",37
"Boulevard of the Allies & Parkview Ave","Frew St & Schenley Dr",65
"First Ave & B St","S 27th & Tunnel Blvd",76
"Fifth Ave & S Bouquet","Liberty Ave & Baum Blvd",109
"Forbes Ave & Grant St","S 12th St & E Carson St",69
"21st St & Penn Ave","Taylor St & Liberty Ave",33
"17th St & Penn Ave","21st St & Penn Ave",52
"Liberty & Stanwix","S Whitfield St & Baum Blvd",59
"10th St & Penn Ave","21st St & Penn Ave",395
"S Whitfield St & Baum Blvd","S Whitfield St & Baum Blvd",62
"37th St & Butler St","12th St & Penn Ave",26
"42nd St & Butler St","Isabella St & Federal St",89
"North Shore Trail & Ft Duquesne Bridge","S 27th & Tunnel Blvd",38
"21st St & Penn Ave","12th St & Penn Ave",108
"Taylor St & Liberty Ave","S Whitfield St & Baum Blvd",45
"S 25th St & E Carson St","First Ave & B St",27
