"date_part","count"
1435708800,1
1435723200,1
1435726800,1
1435744800,5
1435748400,2
1435752000,10
1435755600,24
1435759200,21
1435762800,12
1435766400,12
1435770000,18
1435773600,27
1435777200,17
1435780800,39
1435784400,50
1435788000,72
1435791600,37
1435795200,39
1435798800,41
1435802400,27
1435806000,11
1435809600,3
1435813200,5
1435816800,8
1435820400,1
1435824000,1
1435831200,1
1435834800,2
1435838400,19
1435842000,29
1435845600,12
1435849200,19
1435852800,26
1435856400,39
1435860000,33
1435863600,31
1435867200,33
1435870800,44
1435874400,48
1435878000,41
1435881600,49
1435885200,36
1435888800,26
1435892400,14
1435896000,12
1435899600,4
1435903200,1
1435906800,6
1435910400,3
1435914000,1
1435917600,1
1435921200,1
1435924800,5
1435928400,10
1435932000,24
1435935600,55
1435939200,37
1435942800,82
1435946400,81
1435950000,96
1435953600,78
1435957200,57
1435960800,28
1435964400,30
1435968000,26
1435971600,11
1435975200,1
1435978800,2
1435982400,1
1435986000,2
1435989600,5
1436004000,1
1436007600,3
1436011200,4
1436014800,10
1436018400,22
1436022000,43
1436025600,57
1436029200,54
1436032800,73
1436036400,90
1436040000,88
1436043600,56
1436047200,46
1436050800,38
1436054400,64
1436058000,37
1436061600,31
1436065200,56
1436068800,28
1436072400,16
1436079600,8
1436086800,1
1436090400,1
1436094000,2
1436097600,3
1436101200,8
1436104800,12
1436108400,26
1436112000,46
1436115600,69
1436119200,56
1436122800,38
1436126400,80
1436130000,49
1436133600,52
1436137200,54
1436140800,45
1436144400,44
1436148000,18
1436151600,10
1436155200,7
1436158800,5
1436176800,2
1436180400,5
1436184000,11
1436187600,15
1436191200,19
1436194800,19
1436198400,11
1436202000,10
1436205600,30
1436209200,14
1436212800,21
1436216400,33
1436220000,41
1436223600,27
1436227200,20
1436230800,11
1436234400,12
1436238000,6
1436241600,2
1436245200,6
1436263200,2
1436266800,4
1436270400,18
1436274000,13
1436277600,26
1436281200,27
1436284800,26
1436288400,27
1436292000,22
1436295600,24
1436299200,22
1436302800,18
1436306400,40
1436310000,32
1436313600,23
1436317200,8
1436320800,4
1436328000,7
1436331600,8
1436335200,3
1436346000,1
1436349600,1
1436353200,3
1436356800,7
1436360400,14
1436364000,10
1436367600,6
1436371200,21
1436374800,26
1436378400,18
1436382000,23
1436385600,32
1436389200,28
1436392800,31
1436396400,46
1436400000,16
1436403600,26
1436407200,17
1436410800,13
1436414400,8
1436418000,3
1436421600,2
1436425200,1
1436428800,1
1436432400,1
1436436000,1
1436439600,2
1436443200,13
1436446800,16
1436450400,16
1436454000,18
1436457600,16
1436461200,31
1436464800,31
1436468400,5
1436472000,16
1436475600,12
1436479200,6
1436482800,11
1436486400,7
1436490000,10
1436493600,7
1436497200,6
1436500800,10
1436504400,5
1436508000,8
1436511600,3
1436522400,2
1436526000,1
1436529600,16
1436533200,13
1436536800,5
1436540400,16
1436544000,11
1436547600,10
1436551200,29
1436554800,25
1436558400,28
1436562000,33
1436565600,51
1436569200,29
1436572800,28
1436576400,22
1436580000,23
1436583600,21
1436587200,6
1436590800,14
1436594400,6
1436598000,2
1436601600,2
1436605200,1
1436608800,3
1436612400,3
1436616000,4
1436619600,14
1436623200,19
1436626800,31
1436630400,46
1436634000,86
1436637600,67
1436641200,82
1436644800,43
1436648400,74
1436652000,51
1436655600,44
1436659200,51
1436662800,36
1436666400,16
1436670000,13
1436673600,5
1436677200,15
1436680800,7
1436684400,10
1436688000,1
1436695200,4
1436698800,3
1436702400,1
1436706000,8
1436709600,28
1436713200,28
1436716800,29
1436720400,38
1436724000,54
1436727600,37
1436731200,49
1436734800,24
1436738400,19
1436742000,20
1436745600,31
1436749200,14
1436752800,7
1436756400,4
1436760000,2
1436763600,8
1436767200,3
1436770800,4
1436774400,1
1436778000,2
1436781600,2
1436785200,2
1436788800,16
1436792400,11
1436796000,17
1436799600,26
1436803200,22
1436806800,26
1436810400,27
1436814000,23
1436817600,18
1436821200,27
1436824800,22
1436828400,33
1436832000,19
1436835600,10
1436839200,10
1436842800,10
1436846400,3
1436850000,2
1436853600,2
1436857200,3
1436864400,1
1436868000,1
1436871600,1
1436875200,14
1436878800,19
1436882400,16
1436886000,19
1436889600,18
1436893200,32
1436896800,22
1436900400,20
1436904000,14
1436907600,17
1436911200,12
1436914800,11
1436918400,16
1436922000,13
1436925600,4
1436932800,3
1436940000,1
1436943600,1
1436954400,1
1436958000,6
1436961600,15
1436965200,15
1436968800,9
1436972400,16
1436976000,14
1436979600,24
1436983200,19
1436986800,25
1436990400,20
1436994000,43
1436997600,46
1437001200,34
1437004800,26
1437008400,23
1437012000,17
1437015600,10
1437019200,5
1437022800,4
1437026400,2
1437037200,1
1437040800,6
1437044400,3
1437048000,11
1437051600,14
1437055200,17
1437058800,19
1437062400,23
1437066000,42
1437069600,36
1437073200,32
1437076800,28
1437080400,25
1437084000,66
1437087600,50
1437091200,61
1437094800,49
1437098400,15
1437102000,17
1437105600,10
1437109200,4
1437112800,5
1437116400,1
1437120000,1
1437127200,1
1437130800,3
1437134400,11
1437138000,16
1437141600,14
1437145200,15
1437148800,31
1437152400,55
1437156000,25
1437159600,16
1437163200,21
1437166800,35
1437170400,48
1437174000,36
1437177600,36
1437181200,32
1437184800,19
1437188400,6
1437192000,12
1437195600,17
1437199200,10
1437202800,1
1437206400,5
1437217200,4
1437220800,7
1437224400,8
1437228000,24
1437231600,32
1437235200,45
1437238800,49
1437242400,55
1437246000,60
1437249600,50
1437253200,51
1437256800,48
1437260400,40
1437264000,39
1437267600,26
1437271200,18
1437274800,19
1437278400,9
1437282000,8
1437285600,7
1437289200,4
1437300000,1
1437303600,6
1437307200,8
1437310800,2
1437314400,14
1437318000,22
1437321600,40
1437325200,41
1437328800,52
1437332400,31
1437336000,47
1437339600,32
1437343200,50
1437346800,33
1437350400,14
1437354000,3
1437357600,11
1437361200,4
1437364800,12
1437368400,1
1437372000,1
1437375600,1
1437386400,2
1437393600,19
1437397200,20
1437400800,11
1437404400,11
1437408000,20
1437411600,22
1437415200,26
1437418800,21
1437422400,22
1437426000,29
1437429600,49
1437433200,33
1437436800,26
1437440400,37
1437444000,18
1437447600,1
1437451200,10
1437454800,3
1437458400,1
1437462000,4
1437472800,1
1437476400,6
1437480000,21
1437483600,18
1437487200,11
1437490800,12
1437494400,16
1437498000,26
1437501600,29
1437505200,16
1437508800,14
1437512400,41
1437516000,39
1437519600,35
1437523200,24
1437526800,34
1437530400,9
1437534000,10
1437541200,1
1437544800,2
1437559200,1
1437562800,4
1437566400,21
1437570000,26
1437573600,19
1437577200,11
1437580800,30
1437584400,32
1437588000,40
1437591600,26
1437595200,26
1437598800,57
1437602400,56
1437606000,49
1437609600,56
1437613200,31
1437616800,13
1437620400,3
1437624000,10
1437627600,4
1437631200,7
1437634800,3
1437645600,1
1437649200,8
1437652800,21
1437656400,22
1437660000,15
1437663600,16
1437667200,17
1437670800,41
1437674400,26
1437678000,31
1437681600,23
1437685200,47
1437688800,58
1437692400,48
1437696000,44
1437699600,27
1437703200,26
1437706800,14
1437710400,8
1437714000,2
1437721200,1
1437735600,1
1437739200,18
1437742800,28
1437746400,18
1437750000,8
1437753600,32
1437757200,30
1437760800,18
1437764400,35
1437768000,30
1437771600,44
1437775200,52
1437778800,34
1437782400,46
1437786000,35
1437789600,22
1437793200,25
1437796800,5
1437800400,9
1437804000,2
1437807600,2
1437811200,3
1437822000,3
1437825600,9
1437829200,15
1437832800,16
1437836400,53
1437840000,69
1437843600,74
1437847200,73
1437850800,69
1437854400,50
1437858000,54
1437861600,38
1437865200,28
1437868800,28
1437872400,33
1437876000,21
1437879600,32
1437883200,10
1437886800,15
1437890400,19
1437894000,8
1437897600,1
1437901200,1
1437904800,2
1437908400,7
1437912000,75
1437915600,93
1437919200,88
1437922800,128
1437926400,106
1437930000,65
1437933600,47
1437937200,52
1437940800,49
1437944400,40
1437948000,33
1437951600,20
1437955200,19
1437958800,16
1437962400,25
1437966000,4
1437969600,2
1437973200,4
1437976800,1
1437991200,1
1437994800,4
1437998400,14
1438002000,23
1438005600,9
1438009200,13
1438012800,22
1438016400,26
1438020000,15
1438023600,24
1438027200,17
1438030800,33
1438034400,53
1438038000,40
1438041600,40
1438045200,22
1438048800,19
1438052400,8
1438056000,5
1438063200,1
1438066800,4
1438077600,2
1438081200,5
1438084800,16
1438088400,15
1438092000,12
1438095600,11
1438099200,23
1438102800,24
1438106400,15
1438110000,12
1438113600,23
1438117200,20
1438120800,39
1438124400,27
1438128000,26
1438131600,20
1438135200,27
1438138800,20
1438142400,7
1438146000,6
1438149600,2
1438153200,1
1438164000,1
1438167600,6
1438171200,14
1438174800,13
1438178400,14
1438182000,11
1438185600,29
1438189200,21
1438192800,11
1438196400,18
1438200000,11
1438203600,31
1438207200,42
1438210800,34
1438214400,34
1438218000,31
1438221600,13
1438225200,5
1438228800,5
1438232400,1
1438236000,2
1438239600,4
1438243200,3
1438250400,1
1438254000,10
1438257600,13
1438261200,17
1438264800,9
1438268400,13
1438272000,26
1438275600,18
1438279200,20
1438282800,14
1438286400,16
1438290000,28
1438293600,48
1438297200,32
1438300800,21
1438304400,41
1438308000,7
1438311600,7
1438315200,9
1438318800,7
1438322400,6
1438326000,1
1438333200,1
1438336800,1
1438340400,1
1438344000,22
1438347600,23
1438351200,12
1438354800,16
1438358400,41
1438362000,36
1438365600,46
1438369200,35
1438372800,24
1438376400,40
1438380000,54
1438383600,29
1438387200,28
1438390800,26
1438394400,26
1438398000,10
1438401600,12
1438405200,7
1438408800,10
1438412400,8
1438416000,1
1438419600,1
1438426800,1
1438430400,2
1438434000,9
1438437600,20
1438441200,30
1438444800,49
1438448400,52
1438452000,62
1438455600,65
1438459200,48
1438462800,51
1438466400,36
1438470000,39
1438473600,34
1438477200,32
1438480800,14
1438484400,10
1438488000,14
1438491600,4
1438495200,1
1438502400,3
1438506000,1
1438509600,2
1438513200,1
1438516800,3
1438520400,8
1438524000,26
1438527600,44
1438531200,31
1438534800,69
