"Date","Number of Rides","Temperature"
"2015-07-01",466,66.4137931034482759
"2015-07-02",520,67.4444444444444444
"2015-07-03",652,68.3103448275862069
"2015-07-04",781,71.0689655172413793
"2015-07-05",666,70.75
"2015-07-06",319,74.2222222222222222
"2015-07-07",344,75.4545454545454545
"2015-07-08",357,69.0967741935483871
"2015-07-09",240,71.5909090909090909
"2015-07-10",389,67.8823529411764706
"2015-07-11",714,71.6071428571428571
"2015-07-12",436,69.5
"2015-07-13",341,73.5
"2015-07-14",260,71.6470588235294118
"2015-07-15",368,70.1935483870967742
"2015-07-16",526,67.1666666666666667
"2015-07-17",441,73.4583333333333333
"2015-07-18",620,80.875
"2015-07-19",439,79.2142857142857143
"2015-07-20",382,75.8620689655172414
"2015-07-21",380,74.4642857142857143
"2015-07-22",504,68.5
"2015-07-23",509,70.7916666666666667
"2015-07-24",487,72.1666666666666667
"2015-07-25",686,75.5
"2015-07-26",923,76.5416666666666667
"2015-07-27",390,77.5925925925925926
"2015-07-28",347,79.875
"2015-07-29",355,81.125
"2015-07-30",356,79.3076923076923077
"2015-07-31",494,75.7083333333333333
"2015-08-01",593,74.2916666666666667
"2015-08-02",589,75.4583333333333333
"2015-08-03",272,72.4375
"2015-08-04",418,71.76
"2015-08-05",461,71.125
"2015-08-06",432,66
"2015-08-07",487,69.2083333333333333
"2015-08-08",557,73.6666666666666667
"2015-08-09",542,76.8333333333333333
"2015-08-10",318,75.92
"2015-08-11",438,73.59375
"2015-08-12",411,69.7037037037037037
"2015-08-13",434,66.9166666666666667
"2015-08-14",420,73.5833333333333333
"2015-08-15",600,76.0833333333333333
"2015-08-16",459,77.6666666666666667
"2015-08-17",430,78.9583333333333333
"2015-08-18",290,73.0714285714285714
"2015-08-19",425,77.9615384615384615
"2015-08-20",407,74.5483870967741935
"2015-08-21",519,68.0416666666666667
"2015-08-22",714,68.2083333333333333
"2015-08-23",592,70.125
"2015-08-24",379,71.28
"2015-08-25",373,63.5833333333333333
"2015-08-26",375,62.0833333333333333
"2015-08-27",406,64.4166666666666667
"2015-08-28",449,67.4166666666666667
"2015-08-29",664,71
"2015-08-30",477,74.4
"2015-08-31",328,77.0833333333333333
"2015-09-01",311,77.8333333333333333
"2015-09-02",331,78.8333333333333333
"2015-09-03",396,77
"2015-09-04",376,77.2083333333333333
"2015-09-05",380,75
"2015-09-06",612,76.9166666666666667
"2015-09-07",587,78.75
"2015-09-08",334,79.0833333333333333
"2015-09-09",238,75.1666666666666667
"2015-09-10",257,68.1212121212121212
"2015-09-11",398,65.25
"2015-09-12",163,59.8157894736842105
"2015-09-13",247,56.3333333333333333
"2015-09-14",337,61.5
"2015-09-15",405,64.9583333333333333
"2015-09-16",398,68.625
"2015-09-17",389,69.3333333333333333
"2015-09-18",401,70.2083333333333333
"2015-09-19",592,71.2142857142857143
"2015-09-20",479,61.9583333333333333
"2015-09-21",334,61.8333333333333333
"2015-09-22",339,65.2307692307692308
"2015-09-23",400,65.44
"2015-09-24",432,67.7916666666666667
"2015-09-25",531,66.8333333333333333
"2015-09-26",553,66.0833333333333333
"2015-09-27",415,67
"2015-09-28",208,66.7272727272727273
"2015-09-29",80,68.21875
"2015-09-30",208,61.1481481481481481
"2015-10-01",349,57.8
"2015-10-02",314,50.75
"2015-10-03",194,48
"2015-10-04",283,56.1923076923076923
"2015-10-05",274,58.4583333333333333
"2015-10-06",299,62.8333333333333333
"2015-10-07",398,63.6666666666666667
"2015-10-08",343,61.5517241379310345
"2015-10-09",228,63.6296296296296296
"2015-10-10",402,54.375
"2015-10-11",399,54.875
"2015-10-12",293,60.5416666666666667
"2015-10-13",244,59.1875
"2015-10-14",250,52.9583333333333333
"2015-10-15",289,50.7419354838709677
"2015-10-16",257,48.8620689655172414
"2015-10-17",200,40.52
"2015-10-18",107,37.625
"2015-10-19",203,44.25
"2015-10-20",324,58.125
"2015-10-21",294,58.4166666666666667
"2015-10-22",218,62.3333333333333333
"2015-10-23",283,52.8333333333333333
"2015-10-24",218,58.6
"2015-10-25",176,55
"2015-10-26",184,45.6785714285714286
"2015-10-27",181,49.0769230769230769
"2015-10-28",73,58.3235294117647059
"2015-10-29",200,52.5185185185185185
"2015-10-30",207,44.8214285714285714
"2015-10-31",208,49.9166666666666667
"2015-11-01",203,56.8666666666666667
"2015-11-02",199,53.6153846153846154
"2015-11-03",231,56.0416666666666667
"2015-11-04",229,61.9166666666666667
"2015-11-05",285,66.25
"2015-11-06",185,64.9310344827586207
"2015-11-07",266,47.3333333333333333
"2015-11-08",216,41.75
"2015-11-09",166,44.8333333333333333
"2015-11-10",59,50.3142857142857143
"2015-11-11",191,46.4137931034482759
"2015-11-12",186,51.4285714285714286
"2015-11-13",197,44.375
"2015-11-14",138,41.6666666666666667
"2015-11-15",195,49.7083333333333333
"2015-11-16",179,49
"2015-11-17",164,54.5
"2015-11-18",173,58.4166666666666667
"2015-11-19",221,57.5384615384615385
"2015-11-20",236,39.7916666666666667
"2015-11-21",164,43.1481481481481481
"2015-11-22",47,32.44
"2015-11-23",100,29.625
"2015-11-24",120,37.1785714285714286
"2015-11-25",121,42.875
"2015-11-26",108,52.8333333333333333
"2015-11-27",198,57.2916666666666667
"2015-11-28",30,46.1612903225806452
"2015-11-29",50,38.0333333333333333
"2015-11-30",87,38.75
"2015-12-01",61,50.175
"2015-12-02",82,45.0909090909090909
"2015-12-03",110,35.9615384615384615
"2015-12-04",115,38.4
"2015-12-05",120,32.1875
"2015-12-06",120,34.0666666666666667
"2015-12-07",122,35.2916666666666667
"2015-12-08",99,37.6206896551724138
"2015-12-09",112,44.7407407407407407
"2015-12-10",141,48.1764705882352941
"2015-12-11",178,53.25
"2015-12-12",653,62.0384615384615385
"2015-12-13",225,58.68
"2015-12-14",86,56.5517241379310345
"2015-12-15",147,45.1428571428571429
"2015-12-16",147,48
"2015-12-17",56,45.7575757575757576
"2015-12-18",65,30.5
"2015-12-19",63,28.4166666666666667
"2015-12-20",62,30.9583333333333333
"2015-12-21",72,47.3703703703703704
"2015-12-22",102,54.1
"2015-12-23",84,56.5666666666666667
"2015-12-24",94,56
"2015-12-25",42,49.7916666666666667
"2015-12-26",75,50.9285714285714286
"2015-12-27",26,51.8529411764705882
"2015-12-28",35,36.9
"2015-12-29",59,46.5
"2015-12-30",75,43.0909090909090909
"2015-12-31",26,34
